location,continent,peak_total_cases,peak_total_deaths,max_vax_pct,avg_cfr
India,Asia,1670028009,19573700,45.0,1.1679821244329451
United States,North America,393852065,4493487,45.0,1.1374132668961898
Brazil,South America,256352928,3238129,45.0,1.2666611948522992
Mexico,North America,155515450,1986405,45.0,1.2703701717694098
Japan,Asia,149308482,2207052,45.0,1.4787074017764903
Germany,Europe,98570696,1411824,45.0,1.427123891032546
France,Europe,81225654,928786,45.0,1.1366745186738432
United Kingdom,Europe,81117284,1136975,45.0,1.3982301676993503
Italy,Europe,71634104,895286,45.0,1.2480039150913838
South Africa,Africa,71592883,706389,45.0,0.9840609372179427
Spain,Europe,55936164,654111,45.0,1.1647625106359447
Argentina,South America,53660439,654003,45.0,1.2168885566542387
Canada,North America,45193445,633899,45.0,1.3844081866489177
Australia,Oceania,30969078,370190,45.0,1.1870455849041954
Romania,Europe,22599099,300774,45.0,1.314791199786421
