iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,hosp_patients,icu_patients,population,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,people_vaccinated_per_hundred,year,month,week,year_month,case_fatality_rate,vax_pct_population
ROU,Europe,Romania,2020-01-01,100,100,1,1,0.0,0.0,0.0,3.0,0.0,19000000,5.263,5.263,0.053,0.053,0.0,2020,1,1,2020-01,1.0,0.0
ROU,Europe,Romania,2020-01-02,231,131,2,1,0.0,0.0,0.0,3.0,0.0,19000000,12.158,6.895,0.105,0.053,0.0,2020,1,1,2020-01,0.8658,0.0
ROU,Europe,Romania,2020-01-03,358,127,4,2,0.0,0.0,0.0,3.0,0.0,19000000,18.842,6.684,0.211,0.105,0.0,2020,1,1,2020-01,1.1173,0.0
ROU,Europe,Romania,2020-01-04,485,127,5,1,0.0,0.0,0.0,3.0,0.0,19000000,25.526,6.684,0.263,0.053,0.0,2020,1,1,2020-01,1.0309,0.0
ROU,Europe,Romania,2020-01-05,596,111,6,1,0.0,0.0,0.0,3.0,0.0,19000000,31.368,5.842,0.316,0.053,0.0,2020,1,1,2020-01,1.0067,0.0
ROU,Europe,Romania,2020-01-06,712,116,7,1,0.0,0.0,0.0,3.0,0.0,19000000,37.474,6.105,0.368,0.053,0.0,2020,1,2,2020-01,0.9831,0.0
ROU,Europe,Romania,2020-01-07,828,116,8,1,0.0,0.0,0.0,0.0,0.0,19000000,43.579,6.105,0.421,0.053,0.0,2020,1,2,2020-01,0.9662,0.0
ROU,Europe,Romania,2020-01-08,998,170,10,2,0.0,0.0,0.0,5.0,0.0,19000000,52.526,8.947,0.526,0.105,0.0,2020,1,2,2020-01,1.002,0.0
ROU,Europe,Romania,2020-01-09,1160,162,12,2,0.0,0.0,0.0,4.0,0.0,19000000,61.053,8.526,0.632,0.105,0.0,2020,1,2,2020-01,1.0345,0.0
ROU,Europe,Romania,2020-01-10,1337,177,14,2,0.0,0.0,0.0,5.0,0.0,19000000,70.368,9.316,0.737,0.105,0.0,2020,1,2,2020-01,1.0471,0.0
ROU,Europe,Romania,2020-01-11,1475,138,16,2,0.0,0.0,0.0,4.0,0.0,19000000,77.632,7.263,0.842,0.105,0.0,2020,1,2,2020-01,1.0847,0.0
ROU,Europe,Romania,2020-01-12,1688,213,18,2,0.0,0.0,0.0,6.0,1.0,19000000,88.842,11.211,0.947,0.105,0.0,2020,1,2,2020-01,1.0664,0.0
ROU,Europe,Romania,2020-01-13,1901,213,20,2,0.0,0.0,0.0,6.0,1.0,19000000,100.053,11.211,1.053,0.105,0.0,2020,1,3,2020-01,1.0521,0.0
ROU,Europe,Romania,2020-01-14,2075,174,22,2,0.0,0.0,0.0,5.0,0.0,19000000,109.211,9.158,1.158,0.105,0.0,2020,1,3,2020-01,1.0602,0.0
ROU,Europe,Romania,2020-01-15,2255,180,24,2,0.0,0.0,0.0,5.0,0.0,19000000,118.684,9.474,1.263,0.105,0.0,2020,1,3,2020-01,1.0643,0.0
ROU,Europe,Romania,2020-01-16,2444,189,26,2,0.0,0.0,0.0,5.0,0.0,19000000,128.632,9.947,1.368,0.105,0.0,2020,1,3,2020-01,1.0638,0.0
ROU,Europe,Romania,2020-01-17,2653,209,29,3,0.0,0.0,0.0,6.0,1.0,19000000,139.632,11.0,1.526,0.158,0.0,2020,1,3,2020-01,1.0931,0.0
ROU,Europe,Romania,2020-01-18,2892,239,32,3,0.0,0.0,0.0,7.0,1.0,19000000,152.211,12.579,1.684,0.158,0.0,2020,1,3,2020-01,1.1065,0.0
ROU,Europe,Romania,2020-01-19,3133,241,35,3,0.0,0.0,0.0,7.0,1.0,19000000,164.895,12.684,1.842,0.158,0.0,2020,1,3,2020-01,1.1171,0.0
ROU,Europe,Romania,2020-01-20,3371,238,37,2,0.0,0.0,0.0,7.0,1.0,19000000,177.421,12.526,1.947,0.105,0.0,2020,1,4,2020-01,1.0976,0.0
ROU,Europe,Romania,2020-01-21,3654,283,40,3,0.0,0.0,0.0,8.0,1.0,19000000,192.316,14.895,2.105,0.158,0.0,2020,1,4,2020-01,1.0947,0.0
ROU,Europe,Romania,2020-01-22,3897,243,42,2,0.0,0.0,0.0,0.0,1.0,19000000,205.105,12.789,2.211,0.105,0.0,2020,1,4,2020-01,1.0778,0.0
ROU,Europe,Romania,2020-01-23,4169,272,45,3,0.0,0.0,0.0,8.0,1.0,19000000,219.421,14.316,2.368,0.158,0.0,2020,1,4,2020-01,1.0794,0.0
ROU,Europe,Romania,2020-01-24,4462,293,48,3,0.0,0.0,0.0,8.0,1.0,19000000,234.842,15.421,2.526,0.158,0.0,2020,1,4,2020-01,1.0758,0.0
ROU,Europe,Romania,2020-01-25,4780,318,51,3,0.0,0.0,0.0,9.0,1.0,19000000,251.579,16.737,2.684,0.158,0.0,2020,1,4,2020-01,1.0669,0.0
ROU,Europe,Romania,2020-01-26,5156,376,56,5,0.0,0.0,0.0,11.0,1.0,19000000,271.368,19.789,2.947,0.263,0.0,2020,1,4,2020-01,1.0861,0.0
ROU,Europe,Romania,2020-01-27,5466,310,59,3,0.0,0.0,0.0,9.0,1.0,19000000,287.684,16.316,3.105,0.158,0.0,2020,1,5,2020-01,1.0794,0.0
ROU,Europe,Romania,2020-01-28,5836,370,63,4,0.0,0.0,0.0,11.0,1.0,19000000,307.158,19.474,3.316,0.211,0.0,2020,1,5,2020-01,1.0795,0.0
ROU,Europe,Romania,2020-01-29,6234,398,67,4,0.0,0.0,0.0,11.0,0.0,19000000,328.105,20.947,3.526,0.211,0.0,2020,1,5,2020-01,1.0748,0.0
ROU,Europe,Romania,2020-01-30,6562,328,71,4,0.0,0.0,0.0,9.0,1.0,19000000,345.368,17.263,3.737,0.211,0.0,2020,1,5,2020-01,1.082,0.0
ROU,Europe,Romania,2020-01-31,6998,436,75,4,0.0,0.0,0.0,13.0,2.0,19000000,368.316,22.947,3.947,0.211,0.0,2020,1,5,2020-01,1.0717,0.0
ROU,Europe,Romania,2020-02-01,7376,378,78,3,0.0,0.0,0.0,0.0,1.0,19000000,388.211,19.895,4.105,0.158,0.0,2020,2,5,2020-02,1.0575,0.0
ROU,Europe,Romania,2020-02-02,7751,375,83,5,0.0,0.0,0.0,11.0,1.0,19000000,407.947,19.737,4.368,0.263,0.0,2020,2,5,2020-02,1.0708,0.0
ROU,Europe,Romania,2020-02-03,8309,558,91,8,0.0,0.0,0.0,16.0,2.0,19000000,437.316,29.368,4.789,0.421,0.0,2020,2,6,2020-02,1.0952,0.0
ROU,Europe,Romania,2020-02-04,8893,584,99,8,0.0,0.0,0.0,17.0,2.0,19000000,468.053,30.737,5.211,0.421,0.0,2020,2,6,2020-02,1.1132,0.0
ROU,Europe,Romania,2020-02-05,9469,576,106,7,0.0,0.0,0.0,17.0,2.0,19000000,498.368,30.316,5.579,0.368,0.0,2020,2,6,2020-02,1.1194,0.0
ROU,Europe,Romania,2020-02-06,9961,492,112,6,0.0,0.0,0.0,14.0,2.0,19000000,524.263,25.895,5.895,0.316,0.0,2020,2,6,2020-02,1.1244,0.0
ROU,Europe,Romania,2020-02-07,10427,466,119,7,0.0,0.0,0.0,13.0,2.0,19000000,548.789,24.526,6.263,0.368,0.0,2020,2,6,2020-02,1.1413,0.0
ROU,Europe,Romania,2020-02-08,11048,621,127,8,0.0,0.0,0.0,18.0,3.0,19000000,581.474,32.684,6.684,0.421,0.0,2020,2,6,2020-02,1.1495,0.0
ROU,Europe,Romania,2020-02-09,11635,587,134,7,0.0,0.0,0.0,17.0,2.0,19000000,612.368,30.895,7.053,0.368,0.0,2020,2,6,2020-02,1.1517,0.0
ROU,Europe,Romania,2020-02-10,12165,530,139,5,0.0,0.0,0.0,15.0,2.0,19000000,640.263,27.895,7.316,0.263,0.0,2020,2,7,2020-02,1.1426,0.0
ROU,Europe,Romania,2020-02-11,12814,649,146,7,0.0,0.0,0.0,19.0,3.0,19000000,674.421,34.158,7.684,0.368,0.0,2020,2,7,2020-02,1.1394,0.0
ROU,Europe,Romania,2020-02-12,13363,549,152,6,0.0,0.0,0.0,16.0,2.0,19000000,703.316,28.895,8.0,0.316,0.0,2020,2,7,2020-02,1.1375,0.0
