year_month,total_new_cases,total_new_deaths,avg_vax_pct
2020-01,1022306,11622,0.0
2020-02,3216957,39795,0.0
2020-03,9227083,112196,0.0
2020-04,19073638,227262,0.0
2020-05,32693362,395190,0.0
2020-06,41817358,504359,0.0
2020-07,44910485,542606,0.0
2020-08,43275523,524011,0.0
2020-09,43972809,533371,0.0
2020-10,55920491,688686,0.0
2020-11,76935945,926956,0.0
2020-12,105274255,1279352,0.0
2021-01,122883688,1502602,0.01709677419354833
2021-02,114043483,1380459,0.11464285714285712
2021-03,115989212,1353309,0.3083870967741935
2021-04,91186363,1096943,0.608666666666667
2021-05,79080394,960844,1.0116129032258074
2021-06,74919845,904422,1.515999999999999
2021-07,94684639,1136847,2.122258064516129
2021-08,132813208,1586267,2.8429032258064515
2021-09,171987912,2105772,3.654333333333332
2021-10,221435596,2673608,4.568709677419362
2021-11,240487674,2877101,5.584999999999997
2021-12,247038339,2998788,6.7038709677419375
2022-01,222429506,2744197,7.945483870967747
2022-02,158774573,1903646,9.223214285714278
2022-03,129683669,1630587,10.598064516129032
2022-04,81773749,963031,12.11899999999999
2022-05,57792216,704564,13.742903225806456
2022-06,44796119,538705,15.467666666666663
2022-07,49930931,607636,17.295483870967708
2022-08,59886182,734195,19.25774193548385
2022-09,65784123,792732,21.290666666666656
2022-10,64829863,785948,23.426451612903225
2022-11,50045981,603903,25.66366666666666
2022-12,35248844,426982,28.00387096774191
2023-01,19312867,233974,30.48548387096762
2023-02,8169158,97547,32.944285714285606
2023-03,3668392,42969,35.50064516129031
2023-04,1140326,13595,38.242666666666665
2023-05,318698,3759,41.0877419354839
2023-06,65685,602,43.98933333333332
2023-07,12548,69,45.0
2023-08,1665,1,45.0
2023-09,119,0,45.0
2023-10,1,0,45.0
2023-11,0,0,45.0
2023-12,0,0,45.0
